Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"ESP32-S3","MCU",2,10.43,"https://www.digikey.in/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N4/16162639","Digikey"
"C81399","-40℃~+85℃ 1 170mΩ 2.5V~5.5V 500mA Active High High Side Switch Undervoltage Protection(UVP)、Overtemperature protection (OTP) SOT-23-5 Power Distribution Switches ROHS",2,1.60,"","MIC2005A-1YM5-TR"
"C495550","-25℃~+85℃ 1 14.9mm 1x5P 2.5mm 250V 3A 5 5.75mm 5P 7mm Brass Green K Pin PA66 Through Hole Tin UL94V-0 XH 插件,P=2.5mm Wire To Board Connector ROHS",18,2.34,"","B5B-XH-A-M(LF)(SN)"
"C502532","-55℃~+150℃ 16V 20A 3.3V 350W 40pF 40uA 4V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-4 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS",9,0.41,"","SD03C"
"C513763","2.2uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS",20,0.59,"","CS2012X5R225K500NRE"
"C5180294","-40℃~+125℃ 17A 19V、26V 1uA 2 400W@8/20us 40pF 7.5V、13.3V 7V、12V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-4 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS",6,0.22,"","PSM712-ES"
"C5290323","-40℃~+105℃ 1 1 10A 16~28 1x6P 3.5mm 300V 6 6P Green M2 Through Hole 插件,P=3.5mm Screw Terminal Blocks ROHS",2,1.12,"","DB125-3.5-6P-GN-S"
"C53398","-55℃~+155℃ 50V 53.6kΩ 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",20,0.02,"","0402WGF5362TCE"
"C6568","-40℃~+85℃ 1Mbps 20mA 3V~3.6V 80uA Transceiver USB 2.0 WQFN-28-EP(5x5) USB Converters ROHS",2,4.38,"","CP2102-GMR"
"C6912","-40℃~+85℃ 1 1 200Kbps 256 300uA 4.5V~5.5V Half-Duplex Transceiver ±15kV SOIC-8 RS-485 / RS-422 ICs ROHS",2,0.49,"","SN65HVD3082EDR"
"C713219","-40℃~+85℃ 1 100kHz 100mVp-p 1W 1kV 200mA 220uF 4.5V~5.5V 5V 83% Short Circuit Protection SMD Isolated Power Modules ROHS",2,2.08,"","B0505XT-1WR3S"
"C720648","1 100mW 20kΩ ±25% ±250ppm/℃ SMD-3P,3.8x3.6mm Potentiometers, Variable Resistors ROHS",5,0.59,"","TC33X-2-203E"
"C727120","1A 200mA 30V 30uA@10V 500mV@200mA Independent SOD-523 Schottky Diodes ROHS",26,0.34,"","RB521S-30"
"C7429633","-25℃~+85℃ 1 10mm 1x3P 2.5mm 250V 2A 3 3P 5.9mm 7mm Brass PA66 Through Hole Tin UL94V-0 White XH 插件,P=2.5mm Wire To Board Connector ROHS",23,0.28,"","ZX-XH2.54-3PZZ"
"C75092","-55℃~+175℃ 1 P-Channel 1.185nF 1.5V 115mΩ@10V 12A 20nC@10V 25W 46pF 60V TO-252 MOSFETs ROHS",2,0.62,"","AOD407"
"C78284","-55℃~+150℃ 1 N-channel 220mA 27pF 350mW 50V 6pF 6Ω@4.5V 800mV SOT-23 MOSFETs ROHS",10,0.21,"","BSS138"
"C460504","-40℃~+125℃ 1 170MHz 4.5V~5.5V 5.2ns@5V,50pF 74AHCT 8 8mA Serial-to-Serial or Parallel Tri-State TSSOP-16 Shift Registers ROHS",6,1.60,"","74AHCT595T16-13"
"C85098","-55℃~+150℃ 1 Independent 3A 40V 500mV@3A 500uA@40V 80A SMA(DO-214AC) Schottky Diodes ROHS",10,0.82,"","B340A-13-F"
"C85100","-55℃~+150℃ 1 Independent 100A 500uA@60V 5A 60V 700mV@5A SMC(DO-214AB) Schottky Diodes ROHS",3,0.62,"","B560C-13-F"
"C90129","-40℃~+85℃ 1.5mm 100ms 100mΩ 12V 1A 1mm 2.2mm 30A 500mA 500mW 850mΩ 0805 Resettable Fuses ROHS",5,0.50,"","SMD0805P050TF/12"
"C90157","1 NPN 100MHz 100mA 200 200mW 250mV 3V 45V 50nA NPN TO-236 Bipolar (BJT) ROHS",10,0.14,"","MMBT9014C"
"C91145","1.85mm Connector and Ejector MicroSD Card (TF Card) Push-Push With Locating Pins SMD SD Card / Memory Card Connector ROHS",2,0.39,"","TF-01A"
